"Name","organ","mouse_index","fold change"
"Adar","Epididymis","264",0.966812506669512
"Adar","Heart","264",0.795545427183214
"Adar","Kidney","264",0.465921877511654
"Adar","Large intestine(crude)","264",0.482765980151531
"Adar","Lung","264",0.463156324582339
"Adar","Small intestine(basal layer)","264",0.460356418738662
"Adar","Spleen","264",0.213272631763264
"Adar","Tail epidermis","264",0.608259524063601
"Adar","Crude testis","264",2.31714865009071
"Adar","Spermatogonia","264",2.27617116636432
"Adar","Meiosis II","264",1.77163589798314
"Adar","Round spermatid","264",1.96179703340092
"Adar","Sperm","264",2.27296980044819
"Adar","Pachytene/Diplotene","264",2.89147369544339
"Adar","Crude tail","264",0.57393445145407
"Adar","Cerebellum","264",1.22292177995945
"Adar","LN","385",0.101163162949525
"Adar","Cerebrum","385",1.05196884003842
"Adar","Epididymis","385",0.846441148223242
"Adar","Dorsal skin dermis","385",0.508376907480525
"Adar","Ear lobe","385",0.564080674421086
"Adar","Eyeball","385",0.441788496425141
"Adar","Heart","385",1.30487674741223
"Adar","Kidney","385",0.596734606765553
"Adar","Large intestine(basal layer)","385",0.667804930103511
"Adar","Large intestine(epithelium)","385",0.235031308173972
"Adar","Liver","385",0.761338617349185
"Adar","Lung","385",0.726694016126751
"Adar","Oral mucosa","385",0.34382669939174
"Adar","Dorsal epidermis","385",0.44563013552449
"Adar","Small intestine(basal layer)","385",0.357912709422687
"Adar","Small intestine(epithelium)","385",0.28428129335183
"Adar","Spleen","385",0.164550208088785
"Adar","B cell","385",0.115889446163697
"Adar","CD4 effector/memory","385",0.106925621598549
"Adar","CD4 naive","385",0.0736314160708569
"Adar","CD8 central memory","385",0.159484825649106
"Adar","CD8 effector/memory","385",0.10556552962298
"Adar","CD8 naive","385",0.081314694269555
"Adar","Treg","385",0.132433245904459
"Adar","Crude tail","385",0.731832248425995
"Adar","Tail epidermis","385",0.505815814747626
"Adar","Crude testis","385",2.56749546473162
"Adar","Spermatogonia","385",2.47273503361434
"Adar","Meiosis II","385",2.49386404866076
"Adar","Round spermatid","385",2.37541350976417
"Adar","Sperm","385",2.26144488315014
"Adar","Pachytene/Diplotene","385",2.53804289830328
"Adar","Thyroid","385",0.722707141935761
"Adar","Tongue","385",0.424501120478071
"Adar","mFat","385",0.501333902465052
"Adar","pFat","385",0.78318167555695
"Adar","Cerebellum","385",1.62053142674208
"Adar","LN","391",0.0462794918330309
"Adar","Whole blood","391",0.229541329813562
"Adar","Cerebrum","391",0.224715393499423
"Adar","Ear lobe","391",0.245999010064346
"Adar","Eyeball","391",0.099041697710865
"Adar","Heart","391",0.298930110275323
"Adar","Kidney","391",0.172083654539577
"Adar","Large intestine(crude)","391",0.0898677034678913
"Adar","Large intestine(basal layer)","391",0.0966193500186776
"Adar","Liver","391",0.228303910245834
"Adar","Lung","391",0.134383765055271
"Adar","Oral mucosa","391",0.203308034977726
"Adar","Small intestine(basal layer)","391",0.152681549910187
"Adar","Spleen","391",0.0540752351097179
"Adar","B cell","391",0.218775779574328
"Adar","CD4 naive","391",0.0382044740559573
"Adar","CD8 central memory","391",0.306889445450028
"Adar","CD8 effector/memory","391",0.0744926579772315
"Adar","Treg","391",0.0336578122422043
"Adar","Crude tail","391",0.247468113055638
"Adar","Tail epidermis","391",0.188953967992081
"Adar","Thyroid","391",0.199843260188088
"Adar","Tongue","391",0.198344702349079
"Adar","mFat","391",0.35870691441597
"Adar","pFat","391",0.297068889251042
"Adar","Cerebellum","391",0.263322884012539
"Adar","Whole blood","8",0.0734494399480204
"Adar","Cerebrum","8",0.373311815170305
"Adar","Epididymis","8",0.374644520463257
"Adar","Sperm","8",1.22918066841816
"Adar","Dorsal skin dermis","8",0.3318233859326
