"Name","type","organ","median_FC","mouse_index"
"72-Gnl3","unknown","34-Spermatogonia",0.0334865397242285,"264"
"93-Hspd1","unknown","34-Spermatogonia",0.0175824175824176,"264"
"87-Nsrp1","unknown","34-Spermatogonia",0.103174603174603,"264"
"20-Prkaca","unknown","34-Spermatogonia",0.122860020140987,"264"
"58-Rhoa","unknown","34-Spermatogonia",0.0776293823038397,"264"
"39-Tax1bp1","unknown","34-Spermatogonia",0.358504398826979,"264"
"19-Upf3a","unknown","34-Spermatogonia",0.5375,"264"
"91-Zpr1","unknown","34-Spermatogonia",0.0586319218241042,"264"
"05-NC8","control","34-Spermatogonia",1.22647631408177,"264"
"30-Ccm2","unknown","34-Spermatogonia",0.318109230277866,"264"
"83-Dkc1","unknown","34-Spermatogonia",0.020703933747412,"264"
"71-Ndufa13","unknown","34-Spermatogonia",0.0209205020920502,"264"
"57-Impdh2","unknown","34-Spermatogonia",0.163020465772759,"264"
"98-Mcm3ap","unknown","34-Spermatogonia",0.0124584717607973,"264"
"12-Pdha1","unknown","34-Spermatogonia",0.138346931536006,"264"
"13-Prkacb","unknown","34-Spermatogonia",0.358683314415437,"264"
"73-Rnaseh1","unknown","34-Spermatogonia",0.0458970792767733,"264"
"14-Tbx6","unknown","34-Spermatogonia",0.222222222222222,"264"
"53-Use1","unknown","34-Spermatogonia",0.215457788347206,"264"
"54-Adar","unknown","38-Round spermatid",1.96179703340092,"264"
"64-Chd8","unknown","38-Round spermatid",0.0542193021544711,"264"
"79-Dnmt1","unknown","38-Round spermatid",0.0152764052781492,"264"
"48-Gpi1","unknown","38-Round spermatid",0.16682353304223,"264"
"25-Jup","unknown","38-Round spermatid",0.550553843591238,"264"
"80-Phb","unknown","38-Round spermatid",0.0107733175914994,"264"
"77-Prmt5","unknown","38-Round spermatid",0.0133708459845678,"264"
"68-Rnaseh2c","unknown","38-Round spermatid",0.022175190321256,"264"
"75-Tex10","unknown","38-Round spermatid",0.0770138683977575,"264"
"76-Usp7","unknown","38-Round spermatid",0.0113087183452542,"264"
"09-NC1","control","38-Round spermatid",1.1367771280052,"264"
"88-Akirin2","unknown","38-Round spermatid",0.0438289068107926,"264"
"78-Clp1","unknown","38-Round spermatid",0.0125866790979547,"264"
"22-Dnmt3b","unknown","38-Round spermatid",0.155105702910335,"264"
"37-Gtf2i","unknown","38-Round spermatid",0.0395539399913745,"264"
"38-Kidins220","unknown","38-Round spermatid",0.22993648960739,"264"
"81-Phb2","unknown","38-Round spermatid",0.0436464943507197,"264"
"95-Prpf3","unknown","38-Round spermatid",0.00848444518382965,"264"
"56-Sdhd","unknown","38-Round spermatid",0.0215208034433285,"264"
"47-Thap1","unknown","38-Round spermatid",0.247393698020382,"264"
"65-Vps52","unknown","38-Round spermatid",0.0187730472678512,"264"
"07-NC2","control","38-Round spermatid",1.18469765528589,"264"
"46-Arf4","unknown","38-Round spermatid",0.633273703041145,"264"
"62-Crkl","unknown","38-Round spermatid",0.0586145648312611,"264"
"34-Elavl1","unknown","38-Round spermatid",0.022680412371134,"264"
"89-Hcfc1","unknown","38-Round spermatid",0.0100633619083116,"264"
"31-Krit1","unknown","38-Round spermatid",0.800766283524904,"264"
"23-Phgdh","unknown","38-Round spermatid",0.183019827147941,"264"
"96-Prpf31","unknown","38-Round spermatid",0.0113832355984822,"264"
"63-Shoc2","unknown","38-Round spermatid",0.15327731092437,"264"
"16-Tnrc6a","unknown","38-Round spermatid",0.201244813278008,"264"
"85-Wdr77","unknown","38-Round spermatid",0.00976205003050641,"264"
"08-NC3","control","38-Round spermatid",1.06266416510319,"264"
"67-Arglu1","unknown","38-Round spermatid",0.0123177992198727,"264"
"51-Ctnnbl1","unknown","38-Round spermatid",0.0112866817155756,"264"
"26-Ets2","unknown","38-Round spermatid",0.521691378363537,"264"
"82-Hdac3","unknown","38-Round spermatid",0.00857551214864221,"264"
"92-Mcrs1","unknown","38-Round spermatid",0.00735474380975729,"264"
"86-Pnkp","unknown","38-Round spermatid",0.00889642024994704,"264"
"36-Psen1","unknown","38-Round spermatid",0.0703944083874189,"264"
"15-Slk","unknown","38-Round spermatid",0.233482642777156,"264"
"84-Tra2b","unknown","38-Round spermatid",0.0141259564449676,"264"
"90-Wtap","unknown","38-Round spermatid",0.0190989226248776,"264"
"06-NC4","control","38-Round spermatid",1.12257136003838,"264"
"66-Arid4b","unknown","38-Round spermatid",0.00711111111111111,"264"
"49-Ddx11","unknown","38-Round spermatid",0.0424750917671736,"264"
"42-Fbxl5","unknown","38-Round spermatid",0.0216606498194946,"264"
"27-Hdac7","unknown","38-Round spermatid",0.459530026109661,"264"
"24-Mfn2","unknown","38-Round spermatid",0.0130655698040165,"264"
"74-Pno1","unknown","38-Round spermatid",0.0115036976170912,"264"
"43-Ptbp1","unknown","38-Round spermatid",0.00963855421686747,"264"
"52-Sprtn","unknown","38-Round spermatid",0.00804936946605849,"264"
"44-Trim28","unknown","38-Round spermatid",0.0161001788908766,"264"
"29-Ybx1","unknown","38-Round spermatid",0.573248407643312,"264"
"04-NC5","control","38-Round spermatid",0.751077070368597,"264"
"28-Asf1a","unknown","38-Round spermatid",0.744548286604361,"264"
"94-Ddx24","unknown","38-Round spermatid",0.00775694893341952,"264"
"32-Fth1","unknown","38-Round spermatid",0.231724137931034,"264"
"70-Hsp90ab1","unknown","38-Round spermatid",0.0136324907696677,"264"
"02-Morf4l2","unknown","38-Round spermatid",0.746930422919509,"264"
"55-Ppp2r1a","unknown","38-Round spermatid",0.349791790600833,"264"
"50-Ptma","unknown","38-Round spermatid",0.0837142169834015,"264"
"69-Strap","unknown","38-Round spermatid",0.0126883425852498,"264"
"35-Tsc2","unknown","38-Round spermatid",0.0979462875197472,"264"
"61-Ythdc1","unknown","38-Round spermatid",0.0672549487240639,"264"
"01-NC6","control","38-Round spermatid",1.01100173711639,"264"
"10-Atg13","unknown","38-Round spermatid",0.166336633663366,"264"
"21-Derl1","unknown","38-Round spermatid",0.22874432677761,"264"
"17-Ggnbp2","unknown","38-Round spermatid",0.149441740624105,"264"
"97-Hspa9","unknown","38-Round spermatid",0.00929368029739777,"264"
"11-Mov10","unknown","38-Round spermatid",0.0101591601760921,"264"
"41-Ppp6c","unknown","38-Round spermatid",0.169701666020922,"264"
"40-Rere","unknown","38-Round spermatid",0.012987012987013,"264"
"59-Tardbp","unknown","38-Round spermatid",0.0135440180586907,"264"
"33-Tsg101","unknown","38-Round spermatid",0.0757211538461539,"264"
"18-Zfp110","unknown","38-Round spermatid",0.423379769836463,"264"
"03-NC7","control","38-Round spermatid",0.77865372953305,"264"
"60-Brd4","unknown","38-Round spermatid",0.0354743348562215,"264"
"45-Dhx30","unknown","38-Round spermatid",0.00764720876879939,"264"
"72-Gnl3","unknown","38-Round spermatid",0.0118187787261983,"264"
"93-Hspd1","unknown","38-Round spermatid",0.00732600732600733,"264"
"87-Nsrp1","unknown","38-Round spermatid",0.0456349206349206,"264"
"20-Prkaca","unknown","38-Round spermatid",0.0926485397784491,"264"
"58-Rhoa","unknown","38-Round spermatid",0.0225375626043406,"264"
"39-Tax1bp1","unknown","38-Round spermatid",0.356304985337243,"264"
"19-Upf3a","unknown","38-Round spermatid",0.0916666666666667,"264"
"91-Zpr1","unknown","38-Round spermatid",0.0238870792616721,"264"
"05-NC8","control","38-Round spermatid",1.38611291369241,"264"
"30-Ccm2","unknown","38-Round spermatid",0.193548387096774,"264"
"83-Dkc1","unknown","38-Round spermatid",0.0124223602484472,"264"
"71-Ndufa13","unknown","38-Round spermatid",0.00418410041841004,"264"
"57-Impdh2","unknown","38-Round spermatid",0.192660550458716,"264"
"98-Mcm3ap","unknown","38-Round spermatid",0.00747508305647841,"264"
"12-Pdha1","unknown","38-Round spermatid",0.0446967009577865,"264"
"13-Prkacb","unknown","38-Round spermatid",0.415437003405221,"264"
"73-Rnaseh1","unknown","38-Round spermatid",0.0333796940194715,"264"
"14-Tbx6","unknown","38-Round spermatid",0.099290780141844,"264"
"53-Use1","unknown","38-Round spermatid",0.07705112960761,"264"
"54-Adar","unknown","39-Meiosis II",1.77163589798314,"264"
"64-Chd8","unknown","39-Meiosis II",0.0457009026187343,"264"
"79-Dnmt1","unknown","39-Meiosis II",0.00823112247863745,"264"
"48-Gpi1","unknown","39-Meiosis II",0.197651633210412,"264"
"25-Jup","unknown","39-Meiosis II",0.501082701757308,"264"
"80-Phb","unknown","39-Meiosis II",0.00221369539551358,"264"
"77-Prmt5","unknown","39-Meiosis II",0.00367698264575615,"264"
"68-Rnaseh2c","unknown","39-Meiosis II",0.0109928293900243,"264"
"75-Tex10","unknown","39-Meiosis II",0.071259958689879,"264"
"76-Usp7","unknown","39-Meiosis II",0.0040595399188092,"264"
"09-NC1","control","39-Meiosis II",1.1137102014295,"264"
"88-Akirin2","unknown","39-Meiosis II",0.0304015538571971,"264"
"78-Clp1","unknown","39-Meiosis II",0.00454518967426141,"264"
"22-Dnmt3b","unknown","39-Meiosis II",0.118432120226546,"264"
"37-Gtf2i","unknown","39-Meiosis II",0.033639332142197,"264"
"38-Kidins220","unknown","39-Meiosis II",0.221709006928406,"264"
"81-Phb2","unknown","39-Meiosis II",0.0325027085590466,"264"
"95-Prpf3","unknown","39-Meiosis II",0.00149725503244053,"264"
"56-Sdhd","unknown","39-Meiosis II",0.0199067431850789,"264"
"47-Thap1","unknown","39-Meiosis II",0.263558627152395,"264"
"65-Vps52","unknown","39-Meiosis II",0.0100569896077774,"264"
"07-NC2","control","39-Meiosis II",1.20608802961744,"264"
"46-Arf4","unknown","39-Meiosis II",0.62432915921288,"264"
"62-Crkl","unknown","39-Meiosis II",0.0452930728241563,"264"
"34-Elavl1","unknown","39-Meiosis II",0.0195876288659794,"264"
"89-Hcfc1","unknown","39-Meiosis II",0.00111815132314573,"264"
"31-Krit1","unknown","39-Meiosis II",0.691570881226054,"264"
"23-Phgdh","unknown","39-Meiosis II",0.074224707676665,"264"
"96-Prpf31","unknown","39-Meiosis II",0.00310451879958606,"264"
"63-Shoc2","unknown","39-Meiosis II",0.14218487394958,"264"
"16-Tnrc6a","unknown","39-Meiosis II",0.143153526970954,"264"
"85-Wdr77","unknown","39-Meiosis II",0,"264"
"08-NC3","control","39-Meiosis II",1.10769230769231,"264"
"67-Arglu1","unknown","39-Meiosis II",0.00615889960993636,"264"
"51-Ctnnbl1","unknown","39-Meiosis II",0.00677200902934537,"264"
