"Name","serial_number","order","gene","median_FC","median_reads","organ","sample","mouse_index"
"Polr2a-1","a",5,"Polr2a",0.762234138428262,11277,"Heart","39-Heart","39"
"Pten-1","a",6,"Pten",2.67517501346257,24839,"Heart","39-Heart","39"
"Cd45-1","a",7,"Cd45",1.04267317939609,7827,"Heart","39-Heart","39"
"Trp53-2","b",8,"Trp53",3.25045606819463,16333,"Heart","39-Heart","39"
"Cd19-2","b",9,"Cd19",1.17125,4685,"Heart","39-Heart","39"
"Kpnb1-2","b",10,"Kpnb1",0.662881527556777,3055,"Heart","39-Heart","39"
"Polr2a-2","b",11,"Polr2a",0.574647110211964,2083,"Heart","39-Heart","39"
"Pten-2","b",12,"Pten",3.46782291191237,11397,"Heart","39-Heart","39"
"Cd45-2","b",13,"Cd45",1.05814011220893,3552,"Heart","39-Heart","39"
"Trp53-3","c",14,"Trp53",1.56575274995896,3179,"Heart","39-Heart","39"
"Cd19-3","c",15,"Cd19",0.959057319752347,2401,"Heart","39-Heart","39"
"Kpnb1-3","c",16,"Kpnb1",0.648925217995311,17439,"Heart","39-Heart","39"
"Polr2a-3","c",17,"Polr2a",0.680690555636153,1564,"Heart","39-Heart","39"
"Pten-3","c",18,"Pten",4.25658807212205,8184,"Heart","39-Heart","39"
"Cd45-3","c",19,"Cd45",0.960348384139354,2095,"Heart","39-Heart","39"
"Trp53-4","d",20,"Trp53",1.79538461538462,3112,"Heart","39-Heart","39"
"Cd19-4","d",21,"Cd19",1.05412483631602,1610,"Heart","39-Heart","39"
"Kpnb1-4","d",22,"Kpnb1",0.519608774095527,912,"Heart","39-Heart","39"
"Polr2a-4","d",23,"Polr2a",0.625314333612741,746,"Heart","39-Heart","39"
"Pten-4","d",24,"Pten",2.92603266090298,3046,"Heart","39-Heart","39"
"Cd45-4","d",25,"Cd45",1.25196850393701,1272,"Heart","39-Heart","39"
"Trp53-5","e",26,"Trp53",1.66375364128173,1999,"Heart","39-Heart","39"
"Cd19-5","e",27,"Cd19",1.05736981465137,1198,"Heart","39-Heart","39"
"Kpnb1-5","e",28,"Kpnb1",0.652287354322491,625,"Heart","39-Heart","39"
"Polr2a-5","e",29,"Polr2a",0.643966547192354,539,"Heart","39-Heart","39"
"Pten-5","e",30,"Pten",3.01473598035203,2455,"Heart","39-Heart","39"
"Cd45-5","e",31,"Cd45",1.04353533143732,795,"Heart","39-Heart","39"
"Trp53-6","f",32,"Trp53",2.18055152394775,1252,"Heart","39-Heart","39"
"Cd19-6","f",33,"Cd19",0.84588804422944,816,"Heart","39-Heart","39"
"Kpnb1-6","f",34,"Kpnb1",0.675305975521958,469,"Heart","39-Heart","39"
"Polr2a-6","f",35,"Polr2a",0.84526967285588,478,"Heart","39-Heart","39"
"Pten-6","f",36,"Pten",2.66785475607039,1996,"Heart","39-Heart","39"
"Cd45-6","f",37,"Cd45",0.729350649350649,468,"Heart","39-Heart","39"
"Trp53-7","g",38,"Trp53",1.2092004381161,920,"Heart","39-Heart","39"
"Cd19-7","g",39,"Cd19",0.731826844541247,448,"Heart","39-Heart","39"
"Kpnb1-7","g",40,"Kpnb1",0.671894143592257,457,"Heart","39-Heart","39"
"Polr2a-7","g",41,"Polr2a",0.858676207513417,640,"Heart","39-Heart","39"
"Pten-7","g",42,"Pten",3.31187739463602,2161,"Heart","39-Heart","39"
"Cd45-7","g",43,"Cd45",1.41115702479339,683,"Heart","39-Heart","39"
"Trp53-8","h",44,"Trp53",1.31109445277361,583,"Heart","39-Heart","39"
"Cd19-8","h",45,"Cd19",1.11487650775416,647,"Heart","39-Heart","39"
