"Name","serial_number","order","gene","median_FC","median_reads","organ","sample","mouse_index"
"Pten-9","i",54,"Pten",6.75568181818182,2378,"Crude tail","A123-Crude tail","A123"
"Cd45-9","i",55,"Cd45",1.5,427,"Crude tail","A123-Crude tail","A123"
"Trp53-10","j",56,"Trp53",1.15394912985274,431,"Crude tail","A123-Crude tail","A123"
"Cd19-10","j",57,"Cd19",0.787812840043526,362,"Crude tail","A123-Crude tail","A123"
"Kpnb1-10","j",58,"Kpnb1",0.179906542056075,77,"Crude tail","A123-Crude tail","A123"
"Polr2a-10","j",59,"Polr2a",0.234509056244042,123,"Crude tail","A123-Crude tail","A123"
"Pten-10","j",60,"Pten",6.6420233463035,3414,"Crude tail","A123-Crude tail","A123"
"Cd45-10","j",61,"Cd45",1.03902022215893,608,"Crude tail","A123-Crude tail","A123"
"Trp53-1","a",2,"Trp53",4.29368544350974,20161,"Lung","39-Lung","39"
"Cd19-1","a",3,"Cd19",1.29081279570652,45698,"Lung","39-Lung","39"
"Kpnb1-1","a",4,"Kpnb1",0.446794259560164,12007,"Lung","39-Lung","39"
"Polr2a-1","a",5,"Polr2a",0.521674477289113,7718,"Lung","39-Lung","39"
"Pten-1","a",6,"Pten",4.24911147011309,39453,"Lung","39-Lung","39"
"Cd45-1","a",7,"Cd45",1.25328596802842,9408,"Lung","39-Lung","39"
"Trp53-2","b",8,"Trp53",4.03933795482437,20297,"Lung","39-Lung","39"
"Cd19-2","b",9,"Cd19",1.2415,4966,"Lung","39-Lung","39"
"Kpnb1-2","b",10,"Kpnb1",0.66548531751772,3067,"Lung","39-Lung","39"
"Polr2a-2","b",11,"Polr2a",0.424019495149202,1537,"Lung","39-Lung","39"
"Pten-2","b",12,"Pten",4.82945382625894,15872,"Lung","39-Lung","39"
"Cd45-2","b",13,"Cd45",1.13082766496202,3796,"Lung","39-Lung","39"
"Trp53-3","c",14,"Trp53",2.13068461664751,4326,"Lung","39-Lung","39"
"Cd19-3","c",15,"Cd19",0.89235070900739,2234,"Lung","39-Lung","39"
"Kpnb1-3","c",16,"Kpnb1",0.446794259560164,12007,"Lung","39-Lung","39"
"Polr2a-3","c",17,"Polr2a",0.6315102277673,1451,"Lung","39-Lung","39"
"Pten-3","c",18,"Pten",6.63609570041609,12759,"Lung","39-Lung","39"
"Cd45-3","c",19,"Cd45",1.23447169378868,2693,"Lung","39-Lung","39"
"Trp53-4","d",20,"Trp53",1.96442307692308,3405,"Lung","39-Lung","39"
"Cd19-4","d",21,"Cd19",0.951331296377128,1453,"Lung","39-Lung","39"
"Kpnb1-4","d",22,"Kpnb1",0.154401291425316,271,"Lung","39-Lung","39"
"Polr2a-4","d",23,"Polr2a",0.656328583403185,783,"Lung","39-Lung","39"
"Pten-4","d",24,"Pten",3.84053794428434,3998,"Lung","39-Lung","39"
"Cd45-4","d",25,"Cd45",0.924212598425197,939,"Lung","39-Lung","39"
"Trp53-5","e",26,"Trp53",1.85934248855597,2234,"Lung","39-Lung","39"
"Cd19-5","e",27,"Cd19",0.967343336275375,1096,"Lung","39-Lung","39"
"Kpnb1-5","e",28,"Kpnb1",0.792137763089233,759,"Lung","39-Lung","39"
"Polr2a-5","e",29,"Polr2a",0.485065710872162,406,"Lung","39-Lung","39"
"Pten-5","e",30,"Pten",3.49365534179288,2845,"Lung","39-Lung","39"
"Cd45-5","e",31,"Cd45",1.94399474950777,1481,"Lung","39-Lung","39"
"Trp53-6","f",32,"Trp53",2.00290275761974,1150,"Lung","39-Lung","39"
"Cd19-6","f",33,"Cd19",0.612646855563234,591,"Lung","39-Lung","39"
"Kpnb1-6","f",34,"Kpnb1",0.855291576673866,594,"Lung","39-Lung","39"
"Polr2a-6","f",35,"Polr2a",0.993810786914235,562,"Lung","39-Lung","39"
"Pten-6","f",36,"Pten",2.49276008019603,1865,"Lung","39-Lung","39"
"Cd45-6","f",37,"Cd45",1.39792207792208,897,"Lung","39-Lung","39"
"Trp53-7","g",38,"Trp53",1.34720700985761,1025,"Lung","39-Lung","39"
"Cd19-7","g",39,"Cd19",1.56166621290498,956,"Lung","39-Lung","39"
"Kpnb1-7","g",40,"Kpnb1",0.220534182798334,150,"Lung","39-Lung","39"
"Polr2a-7","g",41,"Polr2a",1.27862254025045,953,"Lung","39-Lung","39"
"Pten-7","g",42,"Pten",3.25057471264368,2121,"Lung","39-Lung","39"
"Cd45-7","g",43,"Cd45",2.24380165289256,1086,"Lung","39-Lung","39"
"Trp53-8","h",44,"Trp53",1.60119940029985,712,"Lung","39-Lung","39"
"Cd19-8","h",45,"Cd19",0.83228029867892,483,"Lung","39-Lung","39"
"Kpnb1-8","h",46,"Kpnb1",0.840896036760482,488,"Lung","39-Lung","39"
"Polr2a-8","h",47,"Polr2a",1.0506241331484,505,"Lung","39-Lung","39"
"Pten-8","h",48,"Pten",3.11929307805596,1412,"Lung","39-Lung","39"
"Cd45-8","h",49,"Cd45",0.375268048606147,175,"Lung","39-Lung","39"
"Trp53-9","i",50,"Trp53",0.9375,365,"Lung","39-Lung","39"
"Cd19-9","i",51,"Cd19",1.32437619961612,690,"Lung","39-Lung","39"
"Kpnb1-9","i",52,"Kpnb1",0.529739776951673,190,"Lung","39-Lung","39"
"Polr2a-9","i",53,"Polr2a",0.200282087447109,71,"Lung","39-Lung","39"
"Pten-9","i",54,"Pten",6.10227272727273,2148,"Lung","39-Lung","39"
"Cd45-9","i",55,"Cd45",2.45901639344262,700,"Lung","39-Lung","39"
"Trp53-10","j",56,"Trp53",1.26639892904953,473,"Lung","39-Lung","39"
"Cd19-10","j",57,"Cd19",0.574537540805223,264,"Lung","39-Lung","39"
"Kpnb1-10","j",58,"Kpnb1",0.605140186915888,259,"Lung","39-Lung","39"
"Polr2a-10","j",59,"Polr2a",0.40419447092469,212,"Lung","39-Lung","39"
"Pten-10","j",60,"Pten",6.57976653696498,3382,"Lung","39-Lung","39"
"Cd45-10","j",61,"Cd45",2.41640558245514,1414,"Lung","39-Lung","39"
"Trp53-1","a",2,"Trp53",2.34224257267597,10998,"Cerebrum","39-Cerebrum","39"
"Cd19-1","a",3,"Cd19",0.979422357178165,34674,"Cerebrum","39-Cerebrum","39"
"Kpnb1-1","a",4,"Kpnb1",0.356371168802173,9577,"Cerebrum","39-Cerebrum","39"
"Polr2a-1","a",5,"Polr2a",0.531002162941601,7856,"Cerebrum","39-Cerebrum","39"
"Pten-1","a",6,"Pten",2.12859450726979,19764,"Cerebrum","39-Cerebrum","39"
"Cd45-1","a",7,"Cd45",0.982060390763766,7372,"Cerebrum","39-Cerebrum","39"
"Trp53-2","b",8,"Trp53",2.70556237354473,13595,"Cerebrum","39-Cerebrum","39"
"Cd19-2","b",9,"Cd19",1.11775,4471,"Cerebrum","39-Cerebrum","39"
"Kpnb1-2","b",10,"Kpnb1",0.597352813539708,2753,"Cerebrum","39-Cerebrum","39"
"Polr2a-2","b",11,"Polr2a",0.323325210354499,1172,"Cerebrum","39-Cerebrum","39"
"Pten-2","b",12,"Pten",2.51726760991937,8273,"Cerebrum","39-Cerebrum","39"
"Cd45-2","b",13,"Cd45",0.963705873591182,3235,"Cerebrum","39-Cerebrum","39"
"Trp53-3","c",14,"Trp53",1.43523230996552,2914,"Cerebrum","39-Cerebrum","39"
"Cd19-3","c",15,"Cd19",0.925504293988416,2317,"Cerebrum","39-Cerebrum","39"
"Kpnb1-3","c",16,"Kpnb1",0.356371168802173,9577,"Cerebrum","39-Cerebrum","39"
"Polr2a-3","c",17,"Polr2a",0.800812418395474,1840,"Cerebrum","39-Cerebrum","39"
"Pten-3","c",18,"Pten",2.86373092926491,5506,"Cerebrum","39-Cerebrum","39"
"Cd45-3","c",19,"Cd45",1.03002521201008,2247,"Cerebrum","39-Cerebrum","39"
"Trp53-4","d",20,"Trp53",1.67076923076923,2896,"Cerebrum","39-Cerebrum","39"
"Cd19-4","d",21,"Cd19",1.17525098210388,1795,"Cerebrum","39-Cerebrum","39"
"Kpnb1-4","d",22,"Kpnb1",0.283733738486374,498,"Cerebrum","39-Cerebrum","39"
"Polr2a-4","d",23,"Polr2a",0.333612740989103,398,"Cerebrum","39-Cerebrum","39"
"Pten-4","d",24,"Pten",2.13352545629203,2221,"Cerebrum","39-Cerebrum","39"
"Cd45-4","d",25,"Cd45",0.945866141732283,961,"Cerebrum","39-Cerebrum","39"
"Trp53-5","e",26,"Trp53",1.10694964627549,1330,"Cerebrum","39-Cerebrum","39"
"Cd19-5","e",27,"Cd19",1.07766990291262,1221,"Cerebrum","39-Cerebrum","39"
"Kpnb1-5","e",28,"Kpnb1",0.458166637676118,439,"Cerebrum","39-Cerebrum","39"
"Polr2a-5","e",29,"Polr2a",0.289127837514934,242,"Cerebrum","39-Cerebrum","39"
"Pten-5","e",30,"Pten",2.12198117069177,1728,"Cerebrum","39-Cerebrum","39"
"Cd45-5","e",31,"Cd45",0.73769415882739,562,"Cerebrum","39-Cerebrum","39"
"Trp53-6","f",32,"Trp53",1.64934687953556,947,"Cerebrum","39-Cerebrum","39"
"Cd19-6","f",33,"Cd19",0.788873531444368,761,"Cerebrum","39-Cerebrum","39"
"Kpnb1-6","f",34,"Kpnb1",0.537077033837293,373,"Cerebrum","39-Cerebrum","39"
"Polr2a-6","f",35,"Polr2a",0.468611847922193,265,"Cerebrum","39-Cerebrum","39"
"Pten-6","f",36,"Pten",2.03831588327022,1525,"Cerebrum","39-Cerebrum","39"
"Cd45-6","f",37,"Cd45",0.688831168831169,442,"Cerebrum","39-Cerebrum","39"
"Trp53-7","g",38,"Trp53",1.03176341730559,785,"Cerebrum","39-Cerebrum","39"
"Cd19-7","g",39,"Cd19",0.852708957255649,522,"Cerebrum","39-Cerebrum","39"
"Kpnb1-7","g",40,"Kpnb1",0.658662092624357,448,"Cerebrum","39-Cerebrum","39"
"Polr2a-7","g",41,"Polr2a",1.02906976744186,767,"Cerebrum","39-Cerebrum","39"
"Pten-7","g",42,"Pten",2.40459770114943,1569,"Cerebrum","39-Cerebrum","39"
"Cd45-7","g",43,"Cd45",1.44421487603306,699,"Cerebrum","39-Cerebrum","39"
"Trp53-8","h",44,"Trp53",1.53148425787106,681,"Cerebrum","39-Cerebrum","39"
"Cd19-8","h",45,"Cd19",1.09764503159104,637,"Cerebrum","39-Cerebrum","39"
"Kpnb1-8","h",46,"Kpnb1",0.354968408960368,206,"Cerebrum","39-Cerebrum","39"
"Polr2a-8","h",47,"Polr2a",1.07142857142857,515,"Cerebrum","39-Cerebrum","39"
"Pten-8","h",48,"Pten",1.5419734904271,698,"Cerebrum","39-Cerebrum","39"
"Cd45-8","h",49,"Cd45",0.964974982130093,450,"Cerebrum","39-Cerebrum","39"
"Trp53-9","i",50,"Trp53",1.19434931506849,465,"Cerebrum","39-Cerebrum","39"
"Cd19-9","i",51,"Cd19",1.02687140115163,535,"Cerebrum","39-Cerebrum","39"
"Kpnb1-9","i",52,"Kpnb1",0.234200743494424,84,"Cerebrum","39-Cerebrum","39"
"Polr2a-9","i",53,"Polr2a",0.519040902679831,184,"Cerebrum","39-Cerebrum","39"
"Pten-9","i",54,"Pten",2.9375,1034,"Cerebrum","39-Cerebrum","39"
"Cd45-9","i",55,"Cd45",1.1768149882904,335,"Cerebrum","39-Cerebrum","39"
"Trp53-10","j",56,"Trp53",1.13253012048193,423,"Cerebrum","39-Cerebrum","39"
"Cd19-10","j",57,"Cd19",0.961915125136017,442,"Cerebrum","39-Cerebrum","39"
"Kpnb1-10","j",58,"Kpnb1",0.289719626168224,124,"Cerebrum","39-Cerebrum","39"
"Polr2a-10","j",59,"Polr2a",0.579599618684461,304,"Cerebrum","39-Cerebrum","39"
"Pten-10","j",60,"Pten",3.28015564202335,1686,"Cerebrum","39-Cerebrum","39"
"Cd45-10","j",61,"Cd45",0.895471375676446,524,"Cerebrum","39-Cerebrum","39"
"Trp53-1","a",2,"Trp53",3.79384517090832,17814,"Testis","39-Testis","39"
"Cd19-1","a",3,"Cd19",1.33250476661253,47174,"Testis","39-Testis","39"
"Kpnb1-1","a",4,"Kpnb1",0.25065429602709,6736,"Testis","39-Testis","39"
"Polr2a-1","a",5,"Polr2a",0.509440338860851,7537,"Testis","39-Testis","39"
"Pten-1","a",6,"Pten",2.48529886914378,23076,"Testis","39-Testis","39"
"Cd45-1","a",7,"Cd45",1.03814387211368,7793,"Testis","39-Testis","39"
"Trp53-2","b",8,"Trp53",2.65242628279545,13328,"Testis","39-Testis","39"
"Cd19-2","b",9,"Cd19",1.123,4492,"Testis","39-Testis","39"
"Kpnb1-2","b",10,"Kpnb1",0.404672356429915,1865,"Testis","39-Testis","39"
"Polr2a-2","b",11,"Polr2a",0.208285438410961,755,"Testis","39-Testis","39"
"Pten-2","b",12,"Pten",2.79598356914651,9189,"Testis","39-Testis","39"
"Cd45-2","b",13,"Cd45",0.654783774390547,2198,"Testis","39-Testis","39"
"Trp53-3","c",14,"Trp53",1.24659333442784,2531,"Testis","39-Testis","39"
"Cd19-3","c",15,"Cd19",0.983822648292391,2463,"Testis","39-Testis","39"
"Kpnb1-3","c",16,"Kpnb1",0.25065429602709,6736,"Testis","39-Testis","39"
"Polr2a-3","c",17,"Polr2a",0.419556071376759,964,"Testis","39-Testis","39"
"Pten-3","c",18,"Pten",3.85246185852982,7407,"Testis","39-Testis","39"
"Cd45-3","c",19,"Cd45",1.19321567728627,2603,"Testis","39-Testis","39"
"Trp53-4","d",20,"Trp53",2.03019230769231,3519,"Testis","39-Testis","39"
"Cd19-4","d",21,"Cd19",0.804670449585334,1229,"Testis","39-Testis","39"
"Kpnb1-4","d",22,"Kpnb1",0.170354192384389,299,"Testis","39-Testis","39"
"Polr2a-4","d",23,"Polr2a",0.155909471919531,186,"Testis","39-Testis","39"
"Pten-4","d",24,"Pten",3.19980787704131,3331,"Testis","39-Testis","39"
"Cd45-4","d",25,"Cd45",1.26673228346457,1287,"Testis","39-Testis","39"
"Trp53-5","e",26,"Trp53",1.55888472742405,1873,"Testis","39-Testis","39"
"Cd19-5","e",27,"Cd19",1.01412180052957,1149,"Testis","39-Testis","39"
"Kpnb1-5","e",28,"Kpnb1",0.411201948164898,394,"Testis","39-Testis","39"
"Polr2a-5","e",29,"Polr2a",0.183990442054958,154,"Testis","39-Testis","39"
"Pten-5","e",30,"Pten",1.95988538681948,1596,"Testis","39-Testis","39"
"Cd45-5","e",31,"Cd45",0.645810544738569,492,"Testis","39-Testis","39"
"Trp53-6","f",32,"Trp53",2.03251088534107,1167,"Testis","39-Testis","39"
"Cd19-6","f",33,"Cd19",0.664478230822391,641,"Testis","39-Testis","39"
"Kpnb1-6","f",34,"Kpnb1",0.450683945284377,313,"Testis","39-Testis","39"
"Polr2a-6","f",35,"Polr2a",0.51105216622458,289,"Testis","39-Testis","39"
"Pten-6","f",36,"Pten",2.3965248384941,1793,"Testis","39-Testis","39"
"Cd45-6","f",37,"Cd45",0.696623376623377,447,"Testis","39-Testis","39"
"Trp53-7","g",38,"Trp53",3.11237677984666,2368,"Testis","39-Testis","39"
"Cd19-7","g",39,"Cd19",0.924584808058808,566,"Testis","39-Testis","39"
"Kpnb1-7","g",40,"Kpnb1",0.295515804949767,201,"Testis","39-Testis","39"
"Polr2a-7","g",41,"Polr2a",2.51162790697674,1872,"Testis","39-Testis","39"
"Pten-7","g",42,"Pten",2.96704980842912,1936,"Testis","39-Testis","39"
"Cd45-7","g",43,"Cd45",1.23553719008264,598,"Testis","39-Testis","39"
"Trp53-8","h",44,"Trp53",2.40629685157421,1070,"Testis","39-Testis","39"
"Cd19-8","h",45,"Cd19",0.802986789201608,466,"Testis","39-Testis","39"
"Kpnb1-8","h",46,"Kpnb1",0.192992533026996,112,"Testis","39-Testis","39"
"Polr2a-8","h",47,"Polr2a",1.54368932038835,742,"Testis","39-Testis","39"
"Pten-8","h",48,"Pten",3.67378497790869,1663,"Testis","39-Testis","39"
"Cd45-8","h",49,"Cd45",0.868477483917084,405,"Testis","39-Testis","39"
"Trp53-9","i",50,"Trp53",1.00684931506849,392,"Testis","39-Testis","39"
"Cd19-9","i",51,"Cd19",1.61996161228407,844,"Testis","39-Testis","39"
"Kpnb1-9","i",52,"Kpnb1",0.147769516728625,53,"Testis","39-Testis","39"
"Polr2a-9","i",53,"Polr2a",0.544428772919605,193,"Testis","39-Testis","39"
"Pten-9","i",54,"Pten",3.99431818181818,1406,"Testis","39-Testis","39"
"Cd45-9","i",55,"Cd45",1.31030444964871,373,"Testis","39-Testis","39"
"Trp53-10","j",56,"Trp53",1.78848728246319,668,"Testis","39-Testis","39"
"Cd19-10","j",57,"Cd19",0.594124047878128,273,"Testis","39-Testis","39"
"Kpnb1-10","j",58,"Kpnb1",0.266355140186916,114,"Testis","39-Testis","39"
"Polr2a-10","j",59,"Polr2a",0.438512869399428,230,"Testis","39-Testis","39"
"Pten-10","j",60,"Pten",4.07976653696498,2097,"Testis","39-Testis","39"
"Cd45-10","j",61,"Cd45",1.56023924807747,913,"Testis","39-Testis","39"
"Trp53-1","a",2,"Trp53",57.0548397401768,267901,"Thymus","A123-Thymus","A123"
"Cd19-1","a",3,"Cd19",1.03823176329355,36756,"Thymus","A123-Thymus","A123"
"Kpnb1-1","a",4,"Kpnb1",0.319122809193634,8576,"Thymus","A123-Thymus","A123"
"Polr2a-1","a",5,"Polr2a",0.511738464311464,7571,"Thymus","A123-Thymus","A123"
"Pten-1","a",6,"Pten",9.63241787829833,89437,"Thymus","A123-Thymus","A123"
"Cd45-1","a",7,"Cd45",1.10355239786856,8284,"Thymus","A123-Thymus","A123"
"Trp53-2","b",8,"Trp53",234.686390925072,1179260,"Thymus","A123-Thymus","A123"
"Cd19-2","b",9,"Cd19",1.13775,4551,"Thymus","A123-Thymus","A123"
"Kpnb1-2","b",10,"Kpnb1",0.472370895414437,2177,"Thymus","A123-Thymus","A123"
"Polr2a-2","b",11,"Polr2a",0.306496850429905,1111,"Thymus","A123-Thymus","A123"
"Pten-2","b",12,"Pten",5.09478168264111,16744,"Thymus","A123-Thymus","A123"
"Cd45-2","b",13,"Cd45",0.953875179981133,3202,"Thymus","A123-Thymus","A123"
"Trp53-3","c",14,"Trp53",2.17944508290921,4425,"Thymus","A123-Thymus","A123"
"Cd19-3","c",15,"Cd19",0.754543638905532,1889,"Thymus","A123-Thymus","A123"
"Kpnb1-3","c",16,"Kpnb1",0.319122809193634,8576,"Thymus","A123-Thymus","A123"
"Polr2a-3","c",17,"Polr2a",0.556216451472508,1278,"Thymus","A123-Thymus","A123"
"Pten-3","c",18,"Pten",77.2115117891817,148452,"Thymus","A123-Thymus","A123"
"Cd45-3","c",19,"Cd45",1.01856520742608,2222,"Thymus","A123-Thymus","A123"
"Trp53-4","d",20,"Trp53",35.0498076923077,60753,"Thymus","A123-Thymus","A123"
"Cd19-4","d",21,"Cd19",0.995198603230031,1520,"Thymus","A123-Thymus","A123"
"Kpnb1-4","d",22,"Kpnb1",0.213085177096192,374,"Thymus","A123-Thymus","A123"
"Polr2a-4","d",23,"Polr2a",0.334450963956412,399,"Thymus","A123-Thymus","A123"
"Pten-4","d",24,"Pten",22.9058597502402,23845,"Thymus","A123-Thymus","A123"
"Cd45-4","d",25,"Cd45",1.42716535433071,1450,"Thymus","A123-Thymus","A123"
"Trp53-5","e",26,"Trp53",9.21514773200166,11072,"Thymus","A123-Thymus","A123"
"Cd19-5","e",27,"Cd19",1.05648720211827,1197,"Thymus","A123-Thymus","A123"
"Kpnb1-5","e",28,"Kpnb1",0.432075143503218,414,"Thymus","A123-Thymus","A123"
"Polr2a-5","e",29,"Polr2a",0.302270011947431,253,"Thymus","A123-Thymus","A123"
"Pten-5","e",30,"Pten",3.90135079819894,3177,"Thymus","A123-Thymus","A123"
"Cd45-5","e",31,"Cd45",1.24699190549114,950,"Thymus","A123-Thymus","A123"
"Trp53-6","f",32,"Trp53",14.5410740203193,8349,"Thymus","A123-Thymus","A123"
"Cd19-6","f",33,"Cd19",0.837595024187975,808,"Thymus","A123-Thymus","A123"
"Kpnb1-6","f",34,"Kpnb1",0.68394528437725,475,"Thymus","A123-Thymus","A123"
"Polr2a-6","f",35,"Polr2a",0.73209549071618,414,"Thymus","A123-Thymus","A123"
"Pten-6","f",36,"Pten",6.08286923591,4551,"Thymus","A123-Thymus","A123"
"Cd45-6","f",37,"Cd45",0.96,616,"Thymus","A123-Thymus","A123"
"Trp53-7","g",38,"Trp53",2.80876232201533,2137,"Thymus","A123-Thymus","A123"
"Cd19-7","g",39,"Cd19",0.924584808058808,566,"Thymus","A123-Thymus","A123"
"Kpnb1-7","g",40,"Kpnb1",0.394021073266356,268,"Thymus","A123-Thymus","A123"
"Polr2a-7","g",41,"Polr2a",1.26788908765653,945,"Thymus","A123-Thymus","A123"
"Pten-7","g",42,"Pten",4.83831417624521,3157,"Thymus","A123-Thymus","A123"
"Cd45-7","g",43,"Cd45",7.4297520661157,3596,"Thymus","A123-Thymus","A123"
"Trp53-8","h",44,"Trp53",2.44227886056971,1086,"Thymus","A123-Thymus","A123"
"Cd19-8","h",45,"Cd19",0.939115450890293,545,"Thymus","A123-Thymus","A123"
"Kpnb1-8","h",46,"Kpnb1",0.470419299253303,273,"Thymus","A123-Thymus","A123"
"Polr2a-8","h",47,"Polr2a",0.703190013869626,338,"Thymus","A123-Thymus","A123"
"Pten-8","h",48,"Pten",3.10162002945508,1404,"Thymus","A123-Thymus","A123"
"Cd45-8","h",49,"Cd45",1.28877769835597,601,"Thymus","A123-Thymus","A123"
"Trp53-9","i",50,"Trp53",1.24571917808219,485,"Thymus","A123-Thymus","A123"
"Cd19-9","i",51,"Cd19",0.998080614203455,520,"Thymus","A123-Thymus","A123"
"Kpnb1-9","i",52,"Kpnb1",0.705390334572491,253,"Thymus","A123-Thymus","A123"
"Polr2a-9","i",53,"Polr2a",0.555712270803949,197,"Thymus","A123-Thymus","A123"
"Pten-9","i",54,"Pten",7.38920454545455,2601,"Thymus","A123-Thymus","A123"
"Cd45-9","i",55,"Cd45",2.76814988290398,788,"Thymus","A123-Thymus","A123"
"Trp53-10","j",56,"Trp53",0.947791164658635,354,"Thymus","A123-Thymus","A123"
"Cd19-10","j",57,"Cd19",1.02285092491839,470,"Thymus","A123-Thymus","A123"
"Kpnb1-10","j",58,"Kpnb1",0.30607476635514,131,"Thymus","A123-Thymus","A123"
"Polr2a-10","j",59,"Polr2a",0.375595805529075,197,"Thymus","A123-Thymus","A123"
"Pten-10","j",60,"Pten",7.72373540856031,3970,"Thymus","A123-Thymus","A123"
"Cd45-10","j",61,"Cd45",1.61492452292794,945,"Thymus","A123-Thymus","A123"
"Trp53-1","a",2,"Trp53",0.541780040375669,4115,"Cerebrum","A310-Cerebrum","A310"
"Cd19-1","a",3,"Cd19",0.662450836160567,29419,"Cerebrum","A310-Cerebrum","A310"
"Kpnb1-1","a",4,"Kpnb1",0.307886667202628,8936,"Cerebrum","A310-Cerebrum","A310"
"Polr2a-1","a",5,"Polr2a",0.415446636961596,6853,"Cerebrum","A310-Cerebrum","A310"
"Pten-1","a",6,"Pten",1.45244808141934,14081,"Cerebrum","A310-Cerebrum","A310"
"Cd45-1","a",7,"Cd45",0.888422127124966,7543,"Cerebrum","A310-Cerebrum","A310"
"Trp53-2","b",8,"Trp53",0.96,5296,"Cerebrum","A310-Cerebrum","A310"
"Cd19-2","b",9,"Cd19",1.07879791765263,4559,"Cerebrum","A310-Cerebrum","A310"
"Kpnb1-2","b",10,"Kpnb1",0.484122345606858,2485,"Cerebrum","A310-Cerebrum","A310"
"Polr2a-2","b",11,"Polr2a",0.270942912123156,1056,"Cerebrum","A310-Cerebrum","A310"
"Pten-2","b",12,"Pten",1.65783718104496,5685,"Cerebrum","A310-Cerebrum","A310"
"Cd45-2","b",13,"Cd45",1.05107902499612,3385,"Cerebrum","A310-Cerebrum","A310"
"Trp53-3","c",14,"Trp53",1.19671007539411,2619,"Cerebrum","A310-Cerebrum","A310"
"Cd19-3","c",15,"Cd19",0.889372280919826,2385,"Cerebrum","A310-Cerebrum","A310"
"Kpnb1-3","c",16,"Kpnb1",0.307886667202628,8936,"Cerebrum","A310-Cerebrum","A310"
"Polr2a-3","c",17,"Polr2a",0.864673242909988,1870,"Cerebrum","A310-Cerebrum","A310"
"Pten-3","c",18,"Pten",1.90235796803292,4007,"Cerebrum","A310-Cerebrum","A310"
"Cd45-3","c",19,"Cd45",1.16495187520743,2340,"Cerebrum","A310-Cerebrum","A310"
"Trp53-4","d",20,"Trp53",1.11904963937208,2198,"Cerebrum","A310-Cerebrum","A310"
"Cd19-4","d",21,"Cd19",1.22074554294976,1883,"Cerebrum","A310-Cerebrum","A310"
"Kpnb1-4","d",22,"Kpnb1",0.281849169152109,441,"Cerebrum","A310-Cerebrum","A310"
"Polr2a-4","d",23,"Polr2a",0.287482014388489,333,"Cerebrum","A310-Cerebrum","A310"
"Pten-4","d",24,"Pten",1.70250606305578,1755,"Cerebrum","A310-Cerebrum","A310"
"Cd45-4","d",25,"Cd45",1.13399295656549,1127,"Cerebrum","A310-Cerebrum","A310"
"Trp53-5","e",26,"Trp53",1.22274509803922,1559,"Cerebrum","A310-Cerebrum","A310"
"Cd19-5","e",27,"Cd19",1.37777777777778,1581,"Cerebrum","A310-Cerebrum","A310"
"Kpnb1-5","e",28,"Kpnb1",0.672131147540984,574,"Cerebrum","A310-Cerebrum","A310"
"Polr2a-5","e",29,"Polr2a",0.21985513421389,172,"Cerebrum","A310-Cerebrum","A310"
"Pten-5","e",30,"Pten",2.18647494944956,1622,"Cerebrum","A310-Cerebrum","A310"
"Cd45-5","e",31,"Cd45",1.01252658945876,714,"Cerebrum","A310-Cerebrum","A310"
"Trp53-6","f",32,"Trp53",1.84361424847958,1061,"Cerebrum","A310-Cerebrum","A310"
"Cd19-6","f",33,"Cd19",0.847989949748744,675,"Cerebrum","A310-Cerebrum","A310"
"Kpnb1-6","f",34,"Kpnb1",0.897663174858985,557,"Cerebrum","A310-Cerebrum","A310"
"Polr2a-6","f",35,"Polr2a",0.730769230769231,418,"Cerebrum","A310-Cerebrum","A310"
"Pten-6","f",36,"Pten",1.59918200408998,1173,"Cerebrum","A310-Cerebrum","A310"
"Cd45-6","f",37,"Cd45",1.04488330341113,582,"Cerebrum","A310-Cerebrum","A310"
"Trp53-7","g",38,"Trp53",0.930787589498807,585,"Cerebrum","A310-Cerebrum","A310"
"Cd19-7","g",39,"Cd19",0.949937421777222,506,"Cerebrum","A310-Cerebrum","A310"
"Kpnb1-7","g",40,"Kpnb1",0.966604823747681,521,"Cerebrum","A310-Cerebrum","A310"
"Polr2a-7","g",41,"Polr2a",1.48216216216216,914,"Cerebrum","A310-Cerebrum","A310"
"Pten-7","g",42,"Pten",1.79594137542277,1062,"Cerebrum","A310-Cerebrum","A310"
"Cd45-7","g",43,"Cd45",1.37067938021454,575,"Cerebrum","A310-Cerebrum","A310"
"Trp53-8","h",44,"Trp53",0.983606557377049,430,"Cerebrum","A310-Cerebrum","A310"
"Cd19-8","h",45,"Cd19",1.22061300101044,604,"Cerebrum","A310-Cerebrum","A310"
"Kpnb1-8","h",46,"Kpnb1",0.546384720327422,267,"Cerebrum","A310-Cerebrum","A310"
"Polr2a-8","h",47,"Polr2a",1.34980826587133,528,"Cerebrum","A310-Cerebrum","A310"
"Pten-8","h",48,"Pten",1.662290629244,612,"Cerebrum","A310-Cerebrum","A310"
"Cd45-8","h",49,"Cd45",1.53669495756365,513,"Cerebrum","A310-Cerebrum","A310"
"Trp53-9","i",50,"Trp53",1.45599204375932,488,"Cerebrum","A310-Cerebrum","A310"
"Cd19-9","i",51,"Cd19",0.850290697674419,585,"Cerebrum","A310-Cerebrum","A310"
"Kpnb1-9","i",52,"Kpnb1",0.515235457063712,155,"Cerebrum","A310-Cerebrum","A310"
